mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes
social_groups_1,21111420_21111421,249.41,4.16,133.31,2.22,0.0,0.0
social_groups_1,21111420_21111423,761.8,12.7,481.58,8.03,0.0,0.0
social_groups_1,21111420_21111502,1090.79,18.18,706.85,11.78,0.0,0.0
social_groups_1,21111420_21111508,3282.15,54.7,2518.07,41.97,0.0,0.0
social_groups_2,21062308_21062309,372.44,6.21,110.6,1.84,0.0,0.0
social_groups_2,21062308_21062311,890.61,14.84,304.73,5.08,0.0,0.0
social_groups_2,21062308_21062314,1407.15,23.45,517.43,8.62,0.0,0.0
social_groups_2,21062308_21062320,3257.78,54.3,1241.29,20.69,0.0,0.0
social_groups_2,21062320_21062321,407.36,6.79,130.02,2.17,0.0,0.0
social_groups_2,21062320_21062323,945.24,15.75,315.57,5.26,0.0,0.0
social_groups_2,21062320_21062402,1517.96,25.3,468.63,7.81,0.0,0.0
social_groups_2,21062320_21062408,3505.39,58.42,1969.65,32.83,0.0,0.0
social_groups_2,21062508_21062509,334.88,5.58,97.28,1.62,0.0,0.0
social_groups_2,21062508_21062511,810.76,13.51,276.75,4.61,0.0,0.0
social_groups_2,21062508_21062514,1388.18,23.14,530.61,8.84,0.0,0.0
social_groups_2,21062508_21062520,3708.04,61.8,1327.18,22.12,0.0,0.0
social_groups_2,21062520_21062521,506.86,8.45,149.85,2.5,0.0,0.0
social_groups_2,21062520_21062523,1239.94,20.67,389.64,6.49,0.0,0.0
social_groups_2,21062520_21062602,2287.12,38.12,684.0,11.4,0.0,0.0
social_groups_2,21062520_21062608,3482.94,58.05,1308.3,21.8,0.0,0.0
social_groups_2,21062708_21062709,215.23,3.59,109.09,1.82,0.0,0.0
social_groups_2,21062708_21062711,719.11,11.99,391.43,6.52,0.0,0.0
social_groups_2,21062708_21062714,1610.86,26.85,897.14,14.95,0.0,0.0
social_groups_2,21062708_21062720,3451.59,57.53,1826.92,30.45,0.0,0.0
social_groups_2,21062720_21062721,282.59,4.71,119.41,1.99,0.0,0.0
social_groups_2,21062720_21062723,665.05,11.08,295.14,4.92,0.0,0.0
social_groups_2,21062720_21062802,1044.02,17.4,471.6,7.86,0.0,0.0
social_groups_2,21062720_21062808,3164.53,52.74,2042.59,34.04,0.0,0.0
social_groups_2,21100608_21100609,457.49,7.62,200.66,3.34,0.0,0.0
social_groups_2,21100608_21100611,1216.75,20.28,640.63,10.68,0.0,0.0
social_groups_2,21100608_21100614,2211.96,36.87,1288.01,21.47,0.0,0.0
social_groups_2,21100608_21100620,5179.95,86.33,3040.47,50.67,0.0,0.0
social_groups_2,21100620_21100621,465.63,7.76,178.26,2.97,0.0,0.0
social_groups_2,21100620_21100623,1159.57,19.33,473.6,7.89,0.0,0.0
social_groups_2,21100620_21100702,1961.19,32.69,870.08,14.5,0.0,0.0
social_groups_2,21100620_21100708,4129.78,68.83,2548.31,42.47,0.0,0.0
social_groups_2,21100808_21100809,461.26,7.69,196.36,3.27,0.0,0.0
social_groups_2,21100808_21100811,1242.19,20.7,678.28,11.3,0.0,0.0
social_groups_2,21100808_21100814,2514.41,41.91,1591.95,26.53,0.0,0.0
social_groups_2,21100808_21100820,6889.59,114.83,4257.59,70.96,0.0,0.0
social_groups_2,21100820_21100821,602.13,10.04,220.38,3.67,0.0,0.0
social_groups_2,21100820_21100823,1575.23,26.25,703.87,11.73,0.0,0.0
social_groups_2,21100820_21100902,2887.31,48.12,1235.12,20.59,0.0,0.0
social_groups_2,21100820_21100908,4827.82,80.46,2652.57,44.21,0.0,0.0
social_groups_2,21101008_21101009,208.0,3.47,106.69,1.78,0.0,0.0
social_groups_2,21101008_21101011,711.73,11.86,382.58,6.38,0.0,0.0
social_groups_2,21101008_21101014,1561.8,26.03,849.54,14.16,0.0,0.0
social_groups_2,21101008_21101020,3640.37,60.67,1952.81,32.55,0.0,0.0
social_groups_2,21101020_21101021,315.82,5.26,136.15,2.27,0.0,0.0
social_groups_2,21101020_21101023,728.84,12.15,342.45,5.71,0.0,0.0
social_groups_2,21101020_21101102,1122.33,18.71,537.11,8.95,0.0,0.0
social_groups_2,21101020_21101108,3605.85,60.1,2499.37,41.66,0.0,0.0
social_groups_2,21111008_21111009,433.65,7.23,181.08,3.02,0.0,0.0
social_groups_2,21111008_21111011,1144.37,19.07,593.03,9.88,0.0,0.0
social_groups_2,21111008_21111014,2166.76,36.11,1248.12,20.8,0.0,0.0
social_groups_2,21111008_21111020,5109.55,85.16,2878.26,47.97,0.0,0.0
social_groups_2,21111020_21111021,463.87,7.73,181.43,3.02,0.0,0.0
social_groups_2,21111020_21111023,1200.94,20.02,517.12,8.62,0.0,0.0
social_groups_2,21111020_21111102,1931.42,32.19,882.55,14.71,0.0,0.0
social_groups_2,21111020_21111108,2701.2,45.02,1131.19,18.85,0.0,0.0
social_groups_2,21111208_21111209,453.23,7.55,194.43,3.24,0.0,0.0
social_groups_2,21111208_21111211,1181.82,19.7,628.32,10.47,0.0,0.0
social_groups_2,21111208_21111214,2147.02,35.78,1224.26,20.4,0.0,0.0
social_groups_2,21111208_21111220,5412.1,90.2,2916.43,48.61,0.0,0.0
social_groups_2,21111220_21111221,590.65,9.84,209.59,3.49,0.0,0.0
social_groups_2,21111220_21111223,1469.69,24.49,617.14,10.29,0.0,0.0
social_groups_2,21111220_21111302,2769.37,46.16,1179.29,19.65,0.0,0.0
social_groups_2,21111220_21111308,5485.37,91.42,3264.99,54.42,0.0,0.0
social_groups_2,21111408_21111409,206.42,3.44,103.28,1.72,0.0,0.0
social_groups_2,21111408_21111411,719.63,11.99,389.56,6.49,0.0,0.0
social_groups_2,21111408_21111414,1590.23,26.5,869.46,14.49,0.0,0.0
social_groups_2,21111408_21111420,3624.75,60.41,1981.48,33.02,0.0,0.0
social_groups_2,21111420_21111421,306.59,5.11,134.79,2.25,0.0,0.0
social_groups_2,21111420_21111423,739.09,12.32,350.19,5.84,0.0,0.0
social_groups_2,21111420_21111502,1124.49,18.74,552.31,9.21,0.0,0.0
social_groups_2,21111420_21111508,3419.78,57.0,2344.54,39.08,0.0,0.0
sumo,21062308_21062309,1681.88,28.03,1678.8,27.98,0.0,0.0
sumo,21062308_21062311,48682.02,811.37,48675.54,811.26,0.0,0.0
sumo,21062320_21062321,12676.74,211.28,12673.35,211.22,0.0,0.0
sumo,21062508_21062509,1809.7,30.16,1806.62,30.11,0.0,0.0
sumo,21062508_21062511,51097.5,851.62,51090.63,851.51,0.0,0.0
sumo,21062520_21062521,15524.62,258.74,15520.98,258.68,0.0,0.0
sumo,21062708_21062709,285.44,4.76,282.59,4.71,0.0,0.0
sumo,21062708_21062711,10825.33,180.42,10819.1,180.32,0.0,0.0
sumo,21062708_21062714,85727.36,1428.79,85718.74,1428.65,0.0,0.0
sumo,21062720_21062721,5005.18,83.42,5002.03,83.37,0.0,0.0
sumo,21062720_21062723,42368.79,706.15,42363.63,706.06,0.0,0.0
sumo,21100608_21100609,1783.38,29.72,1780.0,29.67,0.0,0.0
sumo,21100608_21100611,35870.42,597.84,35863.55,597.73,0.0,0.0
sumo,21100620_21100621,12163.33,202.72,12160.01,202.67,0.0,0.0
sumo,21100808_21100809,1894.45,31.57,1891.29,31.52,0.0,0.0
sumo,21100808_21100811,36142.52,602.38,36135.74,602.26,0.0,0.0
sumo,21100820_21100821,11327.74,188.8,11324.07,188.73,0.0,0.0
sumo,21101008_21101009,291.44,4.86,288.62,4.81,0.0,0.0
sumo,21101008_21101011,9350.06,155.83,9344.18,155.74,0.0,0.0
sumo,21101008_21101014,85871.79,1431.2,85863.18,1431.05,0.0,0.0
sumo,21101020_21101021,4548.48,75.81,4545.39,75.76,0.0,0.0
sumo,21101020_21101023,43506.58,725.11,43500.06,725.0,0.0,0.0
sumo,21111008_21111009,1717.65,28.63,1715.22,28.59,0.0,0.0
sumo,21111008_21111011,39115.6,651.93,39110.42,651.84,0.0,0.0
sumo,21111020_21111021,11531.98,192.2,11528.44,192.14,0.0,0.0
sumo,21111020_21111023,110038.06,1833.97,110030.56,1833.84,0.0,0.0
sumo,21111208_21111209,1861.55,31.03,1858.44,30.97,0.0,0.0
sumo,21111208_21111211,39751.28,662.52,39744.51,662.41,0.0,0.0
sumo,21111220_21111221,9198.25,153.3,9194.59,153.24,0.0,0.0
sumo,21111220_21111223,163740.26,2729.0,163732.25,2728.87,0.0,0.0
sumo,21111408_21111409,277.91,4.63,275.11,4.59,0.0,0.0
sumo,21111408_21111411,11466.17,191.1,11460.03,191.0,0.0,0.0
sumo,21111408_21111414,83761.59,1396.03,83753.02,1395.88,0.0,0.0
sumo,21111420_21111421,4953.57,82.56,4950.18,82.5,0.0,0.0
sumo,21111420_21111423,41055.83,684.26,41050.65,684.18,0.0,0.0
